experiment,correct,total,accuracy
baseline,2,923,0.0021668472372697724
experiment_1,28,923,0.030335861321776816
experiment_2,18,923,0.01950162513542795
experiment_3,22,923,0.023835319609967497
experiment_4,33,923,0.035752979414951244
experiment_5,32,923,0.03466955579631636
